,x1,x2
487,14.731,-0.10377
363,13.766,-0.00041813
7,14.236,-0.42192
183,16.023,2.2305
119,19.065,0.71565
80,17.242,-0.44833
440,14.53,0.86122
38,14.105,0.5318
492,15.335,0.53455
203,17.897,0.53825
90,21.017,2.7146
316,17.639,1.0555
174,17.731,-0.4422
364,16.757,-1.161
442,18.488,-0.066065
276,11.662,-3.3052
428,21.265,0.69335
52,14.551,-2.3693
319,14.897,-2.732
226,16.62,-0.16659
461,16.003,-1.5765
259,15.804,-0.29048
298,12.412,-2.5016
447,13.369,-0.8074
49,12.042,-2.5121
384,13.076,-1.1153
219,11.883,-2.3646
101,11.908,-1.3325
416,16.404,1.0907
294,13.563,-1.2536
383,18.284,1.2933
127,14.722,-1.2017
146,15.374,2.1071
295,19.166,0.71934
36,18.137,-0.81504
338,10.527,-3.4326
272,15.555,1.4723
345,20.218,1.4516
476,15.354,-0.72273
112,19.361,1.9282
41,13.725,1.146
387,20.795,1.1347
484,21.764,1.561
96,13.345,-0.11601
360,15.717,-0.52549
452,14.232,0.37915
423,17.262,-1.0689
88,21.493,1.3222
353,14.459,-0.98422
446,19.373,2.1082
170,14.201,-1.1049
488,11.208,-1.9548
435,11.997,-0.53311
391,14.888,1.0473
228,11.268,-1.6388
72,13.274,-2.8395
265,21.199,1.9164
454,16.722,-2.0896
43,13.89,-1.9802
379,16.169,0.9619
432,16.554,-0.76471
326,18.082,-0.48868
62,20.712,2.7975
469,15.021,-1.5862
121,13.575,0.80478
467,15.483,-0.81667
466,14.479,0.053981
475,19.263,2.9931
371,16.55,1.2998
334,12.011,-1.9221
441,14.94,-1.6365
375,12.853,-1.2813
304,13.105,-1.0685
195,20.024,1.342
213,13.45,-1.9445
25,21.91,1.6541
100,11.322,-1.2783
233,19.573,1.2737
210,15.046,-1.6613
51,17.693,-1.2093
422,13.33,0.47222
151,14.938,-2.2648
224,18.807,-0.12362
261,13.666,-0.73811
350,15.146,-0.77632
260,13.316,0.54299
444,14.632,0.57935
368,10.077,-2.0908
267,15.268,-1.1516
47,18.296,0.78319
320,17.133,1.2008
108,14.111,-1.8865
39,13.754,-1.3071
217,14.549,0.30185
382,16.824,-0.29643
85,16.623,0.018329
139,14.256,0.7446
401,17.852,-0.61435
186,12.605,-0.0077433
98,17.552,3.8041
4,15.268,0.65322
156,21.555,1.8707
430,13.981,-0.98978
42,12.004,-2.5632
286,12.819,-0.70058
107,17.636,-1.5719
1,16.671,-1.0723
329,13.748,-2.1015
77,13.402,-1.1964
291,17.839,2.098
232,14.146,-0.46782
414,14.057,-0.10523
464,10.647,-3.7077
361,17.487,2.215
483,26.082,2.8439
412,15.852,-1.5846
221,15.349,-0.62974
410,14.697,-1.5851
134,20.281,2.18
61,15.145,-0.75591
14,13.156,-0.55674
293,17.884,1.2647
133,14.901,1.3971
104,21.153,-0.98796
181,17.787,2.5966
17,13.189,1.9653
160,16.549,0.13299
288,16.05,0.50221
138,21.644,2.2686
370,11.775,-1.2218
159,14.77,1.6634
408,16.595,-0.83232
367,14.042,0.87071
457,13.592,0.99345
271,17.669,0.023816
