,x1,x2
1,4.0181,-7.3413
5,3.5423,-12.007
7,3.163,-14.27
9,7.3226,-9.7038
10,5.0771,-10.025
13,4.7604,-13.224
20,4.3933,-10.413
27,6.5796,-14.806
28,9.1172,-13.011
29,5.0749,-13.182
31,1.0558,-8.518
33,9.9926,-12.065
45,7.0901,-13.846
46,3.622,-14.545
49,7.6082,-14.485
57,6.9731,-10.966
58,6.2735,-8.8688
59,9.0665,-13.578
62,8.4582,-11.925
64,7.7921,-11.954
68,4.8756,-8.6017
72,4.7311,-9.2822
77,7.0228,-14.887
80,5.0595,-14.792
81,5.1158,-11.273
87,8.1149,-12.674
89,5.8157,-12.359
90,3.8638,-11.627
99,6.7096,-12.2
100,8.5873,-13.971
104,2.3551,-11.179
106,0.95775,-11.746
107,3.8523,-13.203
111,7.0142,-13.95
114,8.0681,-13.214
130,9.5757,-14.932
135,7.1534,-13.706
136,6.2176,-11.394
139,6.5527,-12.624
144,6.6479,-11.302
165,6.9361,-9.6097
166,6.4924,-11.711
171,5.807,-9.8945
174,5.3832,-12.135
177,6.2186,-13.581
182,6.7103,-9.6255
185,7.0264,-6.7935
192,6.8696,-9.5421
193,4.1807,-9.3781
200,7.606,-14.212
202,6.7145,-11.54
203,6.0108,-11.421
204,8.3874,-14.708
206,4.2067,-10.816
207,5.1036,-10.869
208,4.9241,-14.929
211,5.7191,-10.272
213,5.7005,-11.848
214,5.5983,-12.17
215,8.4039,-12.812
216,6.7487,-13.822
222,7.6991,-13.855
223,4.8684,-9.6653
236,3.5648,-12.022
237,4.655,-9.7698
239,6.342,-14.318
240,3.7337,-7.5372
244,6.168,-14.333
245,7.6922,-12.621
249,5.2889,-12.447
251,5.3535,-14.923
252,7.6363,-14.575
253,9.1499,-8.1132
255,8.0381,-12.352
258,5.0154,-13.647
259,5.7063,-12.35
265,5.0282,-9.24
267,1.9923,-5.6415
270,5.8715,-12.464
278,5.7176,-11.276
280,7.9346,-15.406
285,7.2285,-13.681
288,8.2844,-14.411
289,3.9249,-9.5022
295,5.794,-13.038
296,7.226,-12.819
297,5.6362,-12.381
303,6.7672,-15.378
304,7.3103,-12.523
312,6.1089,-13.798
313,7.1878,-14.478
321,7.2034,-12.759
328,4.5944,-11.311
331,7.3236,-9.7817
333,5.1283,-9.7899
339,8.7555,-14.758
346,6.4769,-14.463
348,6.3633,-11.706
353,4.7315,-9.8614
354,6.0278,-12.482
357,4.8999,-10.609
363,6.0257,-13.745
364,7.7088,-13.284
369,2.8758,-9.9489
372,4.9223,-10.794
373,6.544,-12.439
374,5.9205,-10.306
376,6.6501,-11.306
379,5.4024,-11.268
387,8.1151,-11.31
389,7.6533,-14.405
391,6.5674,-12.536
393,6.7967,-15.014
397,5.0017,-13.814
399,4.1118,-8.1694
403,6.3816,-9.4806
409,6.2556,-13.451
412,4.1057,-10.449
413,7.46,-10.708
417,5.6695,-11.437
418,8.7982,-15.104
423,6.4669,-13.259
427,0.78739,-7.4675
428,6.0436,-9.4339
433,6.8563,-15.66
434,7.6257,-11.644
439,2.5714,-12.511
442,3.1559,-9.2771
444,3.4369,-9.313
447,4.5153,-9.2766
455,7.3343,-12.605
460,7.3225,-12.067
461,7.0983,-14.078
462,6.7028,-14.977
465,3.9744,-8.4135
466,2.8585,-9.9968
467,5.3229,-10.15
468,5.045,-14.445
469,5.2949,-8.6241
472,2.0024,-10.57
473,5.5631,-9.1648
475,7.2595,-13.581
480,7.7532,-13.652
482,7.325,-12.792
483,5.3478,-8.4187
484,6.8658,-12.315
485,4.7638,-12.685
486,7.3515,-12.446
495,6.2212,-10.099
499,6.5769,-11.129
